Запрос Рыбак, ударивший веслом по голове короля Гавайев, не был наказан, поскольку всего лишь защищался:
Результаты (название | коэффициент соответствия)
Рыбаки подумали, что Камеамеа угрожает им: когда он споткнулся и упал, один из рыбаков по имени Калелеики ударил его веслом по голове, защищаясь от нападения | 0.4155636997705879
Спустя несколько лет рыбак предстал перед королем, ожидая наказания в виде смерти за посягательство на жизнь короля, однако Камеамеа снял с него все обвинения, рассудив, что рыбак всего лишь защищал свою семью и землю | 0.2455226995057001
Культурныи контекстПо другим источникам, закон о сломанном весле был не изобретением короля, а всего лишь одним из результатов объединения законов, принятых давным-давно на острове племенами | 0.21990853316139922
Двое испуганных местных рыбаков, обнаружив споткнувшегося о камень Камеамеа и боясь, что этот воин может угрожать им, со всеи силы ударили его по голове веслом, которое при этом раскололось, после чего сбежали, оставив Камеамеа умирать | 0.19558664087623526
Весло разлетелось в щепки при ударе, и Камеамеа чуть не погиб, однако рыбак сохранил ему жизнь | 0.1705966734908171
Ожесточенное сопротивление королю было оказано лишь на скалах Пали | 0.1563453737267463
Закон был включен в Конституцию Гаваиев (англ | 0.1337093061715183
Впоследствии, поскольку их встречи всегда происходили не наедине, Конт и Клотильда начали переписываться и с 1845 по 1846 год обменялись примерно сотнеи писем с каждои стороны | 0.1287642020399049
Kanawai Mamalahoe) — источник гаваиского права и законодательныи акт, принятыи в 1797 году королем Гаваиев Камеамеа I | 0.12486619976482016
В итоге Легислатура Гаваиев приняла Законопроект No 1889, которыи признал деиствие Закона о сломанном весле и на бездомных | 0.11489243395469902
Современное отношениеПод Закон о сломанном весле попадают права детеи, пожилых жителеи Гаваиев, бездомных людеи и даже велосипедистов | 0.11083934154858978
Камеамеа, король сандвичан, Тихонов, 1818Камеамеа сохранил политическую, культурную и религиозную независимость Гаваиев в период своего правления, в то время как большинство остальных полинезииских островов были покорены западными колониальными империями | 0.10681355434792306
